"Time","Distance","BPS_Rear","BPS_Front","Longitudinal_a","Lateral_acc","Vertical_acc","Calculated_Gea","Datalogger_Tem","Battery","PE3_RPM","PE3_TPS","PE3_FUEL_TIME","PE3_IGN_ANG","PE3_BARO","PE3_MAP","PE3_LAMBDA","PE3_ANA_IN1","PE3_ANA_IN2","PE3_ANA_IN3","PE3_ANA_IN4","PE3_ANA_IN5","PE3_ANA_IN6","PE3_ANA_IN7","PE3_ANA_IN8","PE3_FREQ1","PE3_FREQ2","PE3_FREQ3","PE3_FREQ4","PE3_BATTVOLT","PE3_IAT","PE3_ECT","PE3_THERMIST1","PE3_THERMIST2","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","Max_Speed_WS","GPS_MPH","SPS","Oil Pressure_Cal","Speed_WS","AIM_Slip_Factor","Slip Ratio","Average_Driven","WSRPM","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"Time","Distance","BPS_Rear","BPS_Front","Longitudinal_a","Lateral_acc","Vertical_acc","Calculated_Gea","Datalogger_Tem","Battery","PE3_RPM","PE3_TPS","PE3_FUEL_TIME","PE3_IGN_ANG","PE3_BARO","PE3_MAP","PE3_LAMBDA","PE3_ANA_IN1","PE3_ANA_IN2","PE3_ANA_IN3","PE3_ANA_IN4","PE3_ANA_IN5","PE3_ANA_IN6","PE3_ANA_IN7","PE3_ANA_IN8","PE3_FREQ1","PE3_FREQ2","PE3_FREQ3","PE3_FREQ4","PE3_BATTVOLT","PE3_IAT","PE3_ECT","PE3_THERMIST1","PE3_THERMIST2","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","Max_Speed_WS","GPS_MPH","SPS","Oil Pressure_Cal","Speed_WS","AIM_Slip_Factor","Slip Ratio","Average_Driven","WSRPM","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"sec","km","psi","psi","g","g","g","#","°F","V","rpm","%","ms","deg","mbar","mbar","lambda","V","V","V","V","V","V","V","V","Hz","Hz","Hz","Hz","V","°F","°F","°F","°F","mph","#","g","g","deg","deg","deg/s","m","m","","Unit","Unit","psi","","","%","Unit","Unit","°","°","cm",
"","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53",

0.100,0.003,-1.893543,-45.045147,2.708610,1.590800,-2.066192,4.000000,130.076096,13.296242,4828.339844,16.886000,3.630000,31.298000,856.000000,908.719971,0.508000,0.043000,0.009000,0.009000,0.009000,0.009000,0.043000,1.454670,0.042000,153.919998,112.930000,122.970001,110.089996,13.200000,82.580002,183.379990,68.000000,68.000000,22.392355,11.000000,-0.496136,0.263316,-0.997543,-67.920181,-25.408022,291.000000,1.440000,276.593231,13.905652,1.393198,36.050129,23.049435,0.000000,7.333494,133.425003,0.027695,42.068622184023,-84.237033345548,291.33
0.110,0.004,-5.860806,-48.585163,2.603191,1.552096,-2.187359,4.000000,130.076096,13.296187,4828.700195,16.893999,3.629400,31.302000,856.000000,909.119995,0.508000,0.043000,0.009000,0.009000,0.009000,0.009000,0.043000,1.457230,0.042000,155.800003,113.089996,124.669998,111.180000,13.200000,82.580002,183.379990,68.000000,68.000000,22.448278,11.000000,-0.495085,0.263947,-0.996397,-68.244133,-25.238197,291.000000,1.440300,279.904388,13.940381,1.393198,36.146126,23.325363,0.000000,7.077225,134.445007,0.027861,42.068622582264,-84.237034436141,291.33
0.120,0.004,-7.752884,-51.575871,2.617428,1.502875,-2.166548,4.000000,130.076096,13.296132,4867.700195,16.874001,3.627400,31.642000,856.000000,909.520020,0.508000,0.043000,0.009000,0.009000,0.009000,0.009000,0.043000,1.461330,0.042000,151.800003,113.389999,123.570000,111.779999,13.200000,82.580002,183.379990,68.000000,68.000000,22.504202,11.000000,-0.494702,0.264266,-0.995251,-68.567276,-25.105270,291.000000,1.441300,279.310974,13.975109,1.393198,36.299877,23.275913,0.000000,6.934908,132.595001,0.027313,42.068622980505,-84.237035526734,291.33
0.130,0.004,-1.649404,-49.866894,2.603256,1.487587,-2.017290,4.000000,130.076096,13.296078,4906.700195,16.854000,3.625400,31.982000,856.000000,909.919983,0.508000,0.043000,0.009000,0.009000,0.009000,0.009000,0.043000,1.465430,0.042000,147.800003,113.690002,122.470001,112.379997,13.200000,82.580002,183.379990,68.000000,68.000000,22.560125,11.000000,-0.494320,0.264585,-0.994105,-68.890427,-24.972343,291.000000,1.442300,278.717590,14.009837,1.393198,36.453629,23.226465,0.000000,6.792592,130.744995,0.026765,42.068623378746,-84.237036617327,291.33
0.140,0.005,-1.832509,-52.857601,2.413763,1.465636,-1.941099,4.000000,130.076096,13.296022,4945.700195,16.834002,3.623400,32.322002,856.000000,910.320007,0.508000,0.043000,0.009000,0.009000,0.009000,0.009000,0.043000,1.469530,0.042000,143.800003,113.989998,121.370003,112.980003,13.200000,82.580002,183.379990,68.000000,68.000000,22.616049,11.000000,-0.493938,0.264903,-0.992959,-69.213577,-24.839418,291.000000,1.443300,278.124176,14.044565,1.393198,36.607380,23.177015,0.000000,6.650275,128.895004,0.026216,42.068623776986,-84.237037707920,291.32
0.150,0.005,-5.433562,-50.660347,2.239100,1.380764,-2.077527,4.000000,130.076096,13.295967,4984.700195,16.814001,3.621400,32.662003,856.000000,910.719971,0.508000,0.043000,0.009000,0.009000,0.009000,0.009000,0.043000,1.473630,0.042000,139.800003,114.290001,120.269997,113.580002,13.200000,82.580002,183.379990,68.000000,68.000000,22.671972,11.000000,-0.493555,0.265222,-0.991813,-69.536728,-24.706491,291.000000,1.444300,277.530792,14.079294,1.393198,36.761127,23.127565,0.000000,6.507959,127.044998,0.025668,42.068624175227,-84.237038798513,291.32
0.160,0.005,-5.494596,-45.716530,2.245730,1.303365,-2.209810,4.000000,130.076096,13.295913,5021.359863,16.662001,3.615200,32.972000,856.000000,910.880005,0.508000,0.043000,0.009000,0.009000,0.009000,0.009000,0.043000,1.477730,0.042000,135.800003,114.589996,119.169998,114.180000,13.200000,82.580002,183.379990,68.000000,68.000000,22.727894,11.000000,-0.493173,0.265541,-0.990667,-69.859871,-24.573566,291.000000,1.445300,276.937408,14.114022,1.393198,36.914879,23.078115,0.000000,6.365642,125.195000,0.025120,42.068624547841,-84.237039940108,291.32
0.170,0.006,-5.372527,-47.608608,2.276113,1.360579,-2.122304,4.000000,130.076096,13.295857,5052.560059,16.202002,3.599200,33.212002,856.000000,910.479980,0.508000,0.043000,0.009000,0.009000,0.009000,0.009000,0.043000,1.481830,0.042000,131.800003,114.889999,118.070000,114.779999,13.200000,82.580002,183.379990,68.000000,68.000000,22.783817,11.000000,-0.492790,0.265859,-0.989522,-70.183022,-24.440639,291.000000,1.446300,276.343994,14.148750,1.393198,37.068630,23.028666,0.000000,6.223326,123.345001,0.024571,42.068624914048,-84.237041094453,291.32
0.180,0.006,-7.447710,-49.561722,2.269854,1.504208,-2.028048,4.000000,130.076096,13.295803,5083.759766,15.742001,3.583200,33.452003,856.000000,910.080017,0.508000,0.043000,0.009000,0.009000,0.009000,0.009000,0.043000,1.485930,0.042000,127.800003,115.190002,116.970001,115.379997,13.200000,82.580002,183.379990,68.000000,68.000000,22.839741,11.000000,-0.492408,0.266178,-0.988376,-70.506172,-24.307713,291.000000,1.447300,275.750610,14.183479,1.393198,37.222378,22.979218,0.000000,6.081009,121.495003,0.024023,42.068625280256,-84.237042248798,291.32
0.190,0.006,-7.203571,-42.481686,2.387321,1.551090,-2.068093,4.000000,130.076096,13.295748,5114.959961,15.282001,3.567200,33.692001,856.000000,909.679993,0.508000,0.043000,0.009000,0.009000,0.009000,0.009000,0.043000,1.490030,0.042000,123.800003,115.489998,115.870003,115.980003,13.200000,82.580002,183.379990,68.000000,68.000000,22.895664,11.000000,-0.492026,0.266497,-0.987230,-70.829315,-24.174788,291.000000,1.448300,275.157196,14.218207,1.393198,37.376129,22.929768,0.000000,5.938693,119.644997,0.023475,42.068625646463,-84.237043403142,291.32
