"Time","Distance","BPS_Rear","BPS_Front","Longitudinal_a","Lateral_acc","Vertical_acc","Calculated_Gea","Datalogger_Tem","Battery","PE3_RPM","PE3_TPS","PE3_FUEL_TIME","PE3_IGN_ANG","PE3_BARO","PE3_MAP","PE3_LAMBDA","PE3_ANA_IN1","PE3_ANA_IN2","PE3_ANA_IN3","PE3_ANA_IN4","PE3_ANA_IN5","PE3_ANA_IN6","PE3_ANA_IN7","PE3_ANA_IN8","PE3_FREQ1","PE3_FREQ2","PE3_FREQ3","PE3_FREQ4","PE3_BATTVOLT","PE3_IAT","PE3_ECT","PE3_THERMIST1","PE3_THERMIST2","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","GPS_MPH","SPS","Oil Pressure_Cal","WSRPM","Speed_WS","AIM_Slip_Factor","Average_Driven","Slip Ratio","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"Time","Distance","BPS_Rear","BPS_Front","Longitudinal_a","Lateral_acc","Vertical_acc","Calculated_Gea","Datalogger_Tem","Battery","PE3_RPM","PE3_TPS","PE3_FUEL_TIME","PE3_IGN_ANG","PE3_BARO","PE3_MAP","PE3_LAMBDA","PE3_ANA_IN1","PE3_ANA_IN2","PE3_ANA_IN3","PE3_ANA_IN4","PE3_ANA_IN5","PE3_ANA_IN6","PE3_ANA_IN7","PE3_ANA_IN8","PE3_FREQ1","PE3_FREQ2","PE3_FREQ3","PE3_FREQ4","PE3_BATTVOLT","PE3_IAT","PE3_ECT","PE3_THERMIST1","PE3_THERMIST2","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","GPS_MPH","SPS","Oil Pressure_Cal","WSRPM","Speed_WS","AIM_Slip_Factor","Average_Driven","Slip Ratio","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"sec","km","psi","psi","g","g","g","#","°F","V","rpm","%","ms","deg","mbar","mbar","lambda","V","V","V","V","V","V","V","V","Hz","Hz","Hz","Hz","V","°F","°F","°F","°F","mph","#","g","g","deg","deg","deg/s","m","m","Unit","Unit","psi","Unit","","","Unit","%","°","°","cm",
"","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52",

0.100,0.004,0.242674,-49.805862,1.842803,2.307831,-2.248243,3.000000,124.582939,13.246325,6400.100098,19.540001,3.765000,44.329998,969.000000,885.900024,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,1.926250,0.042000,117.500000,120.300003,116.449997,116.150002,13.139500,91.580002,188.779999,68.000000,68.000000,23.997356,11.000000,-0.048118,0.141486,-1.766796,-94.768524,-2.115683,292.000000,1.060500,14.902358,1.393198,53.734379,0.018544,23.003942,0.000000,118.900002,10.758004,42.068624885679,-84.237058675185,292.98
0.110,0.004,2.378892,-47.974815,1.944285,2.222651,-1.553972,3.000000,124.582939,13.246546,6406.299805,18.420000,3.735000,44.389999,969.000000,881.700012,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,1.934750,0.042000,118.500000,120.900002,117.349998,116.449997,13.138499,91.580002,188.779999,68.000000,68.000000,24.022213,11.000000,-0.058952,0.128739,-1.759921,-94.840721,-2.590092,292.000000,1.061500,14.917793,1.393198,54.053131,0.018585,23.122622,0.000000,119.699997,10.519227,42.068625015017,-84.237059975221,292.96
0.120,0.004,1.463370,-48.585167,2.221424,2.035934,-1.451081,3.000000,124.582939,13.246765,6412.500000,17.299999,3.705000,44.450001,969.000000,877.500000,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,1.943250,0.042000,119.500000,121.500000,118.250000,116.750000,13.137500,91.580002,188.779999,68.000000,68.000000,24.047066,11.000000,-0.069787,0.115993,-1.753045,-94.912910,-3.064502,292.000000,1.062500,14.933228,1.393198,54.371880,0.018625,23.241301,0.000000,120.500000,10.280450,42.068625144356,-84.237061275256,292.95
0.130,0.005,-2.198718,-52.552429,2.357166,1.981941,-1.964508,3.000000,124.582939,13.246984,6418.700195,16.180000,3.675000,44.510002,969.000000,873.299988,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,1.951750,0.042000,120.500000,122.099998,119.150002,117.050003,13.136499,91.580002,188.779999,68.000000,68.000000,24.071922,11.000000,-0.080621,0.103246,-1.746170,-94.985100,-3.538911,292.000000,1.063500,14.948663,1.393198,54.690628,0.018665,23.359980,0.000000,121.300003,10.041673,42.068625273694,-84.237062575292,292.94
0.140,0.005,-4.640110,-52.247253,2.213744,2.047168,-2.268956,3.000000,124.582939,13.247205,6424.899902,15.060000,3.645000,44.570004,969.000000,869.099976,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,1.960250,0.042000,121.500000,122.699997,120.050003,117.349998,13.135500,91.580002,188.779999,68.000000,68.000000,24.096775,11.000000,-0.091456,0.090500,-1.739294,-95.057297,-4.013319,292.000000,1.064500,14.964097,1.393198,55.009380,0.018705,23.478659,0.000000,122.099998,9.802896,42.068625403032,-84.237063875327,292.93
0.150,0.005,-3.114240,-45.228249,2.017695,2.087749,-1.905306,3.000000,124.582939,13.247424,6453.600098,13.660000,3.582000,44.830002,969.000000,863.099976,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,1.968750,0.042000,122.500000,123.300003,120.949997,117.650002,13.134500,91.580002,188.779999,68.000000,68.000000,24.121632,11.000000,-0.102290,0.077754,-1.732419,-95.129486,-4.487729,292.000000,1.065500,14.979532,1.393198,55.328129,0.018745,23.597336,0.000000,122.900002,9.564119,42.068625532370,-84.237065175363,292.91
0.160,0.006,-1.283196,-43.092033,2.051716,2.049843,-1.464641,3.000000,124.582939,13.247644,6504.799805,11.980000,3.486000,45.290001,969.000000,855.299988,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,1.977250,0.042000,123.500000,123.900002,121.849998,117.949997,13.133499,91.580002,188.779999,68.000000,68.000000,24.146484,11.000000,-0.113125,0.065007,-1.725543,-95.201683,-4.962138,292.000000,1.066500,14.994967,1.393198,55.646881,0.018785,23.716015,0.000000,123.699997,9.325342,42.068625661709,-84.237066475398,292.90
0.170,0.006,-1.283196,-46.143772,2.253454,1.963900,-1.689808,3.000000,124.582939,13.247864,6556.000000,10.300000,3.390000,45.750000,969.000000,847.500000,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,1.985750,0.042000,124.500000,124.500000,122.750000,118.250000,13.132500,91.580002,188.779999,68.000000,68.000000,24.171341,11.000000,-0.123959,0.052261,-1.718668,-95.273872,-5.436547,292.000000,1.067500,15.010402,1.393198,55.965630,0.018825,23.834694,0.000000,124.500000,9.086565,42.068625791047,-84.237067775434,292.89
0.180,0.006,-5.250457,-50.111034,2.334147,1.886180,-2.378176,3.000000,124.582939,13.248083,6607.200195,8.620000,3.294000,46.210003,969.000000,839.700012,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,1.994250,0.042000,125.500000,125.099998,123.650002,118.550003,13.131499,91.580002,188.779999,68.000000,68.000000,24.196194,11.000000,-0.134794,0.039514,-1.711792,-95.346062,-5.910956,292.000000,1.068500,15.025836,1.393198,56.284378,0.018866,23.953373,0.000000,125.300003,8.847788,42.068625907003,-84.237069079954,292.88
0.190,0.007,-10.743589,-54.688644,2.206872,1.866949,-2.750382,3.000000,124.582939,13.248303,6658.399902,6.940000,3.198000,46.670002,969.000000,831.900024,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,2.002750,0.042000,126.500000,125.699997,124.550003,118.849998,13.130500,91.580002,188.779999,68.000000,68.000000,24.221050,11.000000,-0.145628,0.026768,-1.704917,-95.418259,-6.385365,292.000000,1.069500,15.041271,1.393198,56.603130,0.018906,24.072052,0.000000,126.099998,8.609011,42.068626021472,-84.237070384972,292.88
