"Time","Distance","BPS_Rear","BPS_Front","Longitudinal_a","Lateral_acc","Vertical_acc","Calculated_Gea","Datalogger_Tem","Battery","PE3_RPM","PE3_TPS","PE3_FUEL_TIME","PE3_IGN_ANG","PE3_BARO","PE3_MAP","PE3_LAMBDA","PE3_ANA_IN1","PE3_ANA_IN2","PE3_ANA_IN3","PE3_ANA_IN4","PE3_ANA_IN5","PE3_ANA_IN6","PE3_ANA_IN7","PE3_ANA_IN8","PE3_FREQ1","PE3_FREQ2","PE3_FREQ3","PE3_FREQ4","PE3_BATTVOLT","PE3_IAT","PE3_ECT","PE3_THERMIST1","PE3_THERMIST2","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","GPS_MPH","SPS","Oil Pressure_Cal","WSRPM","Speed_WS","AIM_Slip_Factor","Average_Driven","Slip Ratio","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"Time","Distance","BPS_Rear","BPS_Front","Longitudinal_a","Lateral_acc","Vertical_acc","Calculated_Gea","Datalogger_Tem","Battery","PE3_RPM","PE3_TPS","PE3_FUEL_TIME","PE3_IGN_ANG","PE3_BARO","PE3_MAP","PE3_LAMBDA","PE3_ANA_IN1","PE3_ANA_IN2","PE3_ANA_IN3","PE3_ANA_IN4","PE3_ANA_IN5","PE3_ANA_IN6","PE3_ANA_IN7","PE3_ANA_IN8","PE3_FREQ1","PE3_FREQ2","PE3_FREQ3","PE3_FREQ4","PE3_BATTVOLT","PE3_IAT","PE3_ECT","PE3_THERMIST1","PE3_THERMIST2","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","GPS_MPH","SPS","Oil Pressure_Cal","WSRPM","Speed_WS","AIM_Slip_Factor","Average_Driven","Slip Ratio","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"sec","km","psi","psi","g","g","g","#","°F","V","rpm","%","ms","deg","mbar","mbar","lambda","V","V","V","V","V","V","V","V","Hz","Hz","Hz","Hz","V","°F","°F","°F","°F","mph","#","g","g","deg","deg","deg/s","m","m","Unit","Unit","psi","Unit","","","Unit","%","°","°","cm",
"","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52",

6.200,0.275,2.073718,-44.312729,3.188217,1.682329,-2.691660,3.000000,124.582939,13.230148,11653.099609,22.690001,4.024000,50.600002,969.000000,711.900024,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.596650,0.042000,224.350006,226.199997,217.199997,217.500000,13.059000,89.779999,188.779999,68.000000,68.000000,44.785332,11.000000,-0.294698,0.477068,0.115657,-164.366852,-8.250916,292.000000,1.420000,27.811689,1.393198,78.874382,0.019334,42.991459,0.000000,225.274994,3.285763,42.068014531901,-84.237420536934,292.60
6.210,0.276,2.684066,-46.754120,3.346024,1.597458,-2.576390,3.000000,124.582939,13.229874,11681.299805,22.870001,4.032000,50.600002,969.000000,713.700012,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.597950,0.042000,225.050003,226.600006,217.600006,218.500000,13.057000,89.779999,188.779999,68.000000,68.000000,44.878536,11.000000,-0.292658,0.475220,0.117376,-164.406967,-8.161534,292.000000,1.420000,27.869570,1.393198,78.923134,0.019338,43.129917,0.000000,225.824997,3.259319,42.068012754764,-84.237421203400,292.61
6.220,0.277,2.684066,-46.754120,3.639772,1.530807,-2.629595,3.000000,124.582939,13.229599,11709.500000,23.049999,4.040000,50.600002,969.000000,715.500000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.599250,0.042000,225.750000,227.000000,218.000000,219.500000,13.055000,89.779999,188.779999,68.000000,68.000000,44.971741,11.000000,-0.290619,0.473372,0.119094,-164.447067,-8.072153,292.000000,1.420000,27.927452,1.393198,78.971878,0.019342,43.268375,0.000000,226.375000,3.232875,42.068010977627,-84.237421869865,292.61
6.230,0.277,0.242674,-46.754120,3.805372,1.706179,-2.740577,3.000000,124.582939,13.229324,11737.700195,23.230000,4.048000,50.600002,969.000000,717.299988,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.600550,0.042000,226.449997,227.399994,218.399994,220.500000,13.052999,89.779999,188.779999,68.000000,68.000000,45.064949,11.000000,-0.288580,0.471523,0.120813,-164.487167,-7.982771,292.000000,1.420000,27.985332,1.393198,79.020630,0.019346,43.406834,0.000000,226.925003,3.206430,42.068009200490,-84.237422536331,292.61
6.240,0.278,-3.724587,-48.279991,3.779394,1.895000,-2.739111,3.000000,124.582939,13.229050,11765.900391,23.410000,4.056000,50.600002,969.000000,719.099976,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.601850,0.042000,227.149994,227.800003,218.800003,221.500000,13.051000,89.779999,188.779999,68.000000,68.000000,45.158154,11.000000,-0.286540,0.469675,0.122532,-164.527283,-7.893390,292.000000,1.420000,28.043213,1.393198,79.069382,0.019350,43.545292,0.000000,227.475006,3.179986,42.068007423353,-84.237423202797,292.61
6.250,0.279,-7.081501,-51.331730,3.644906,1.872882,-2.668117,3.000000,124.582939,13.228775,11791.799805,23.840000,4.073000,50.520000,969.000000,722.099976,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.603150,0.042000,227.850006,228.199997,219.199997,222.500000,13.049000,89.779999,188.779999,68.000000,68.000000,45.251358,11.000000,-0.284501,0.467827,0.124251,-164.567383,-7.804008,292.000000,1.420000,28.101093,1.393198,79.118134,0.019354,43.683754,0.000000,228.024994,3.153542,42.068005646216,-84.237423869262,292.61
6.260,0.279,-4.334936,-51.331730,3.441476,1.784752,-2.627876,3.000000,124.582939,13.228500,11815.400391,24.520000,4.099000,50.360001,969.000000,726.299988,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.604450,0.042000,228.550003,228.600006,219.600006,223.500000,13.047000,89.779999,188.779999,68.000000,68.000000,45.344563,11.000000,-0.282461,0.465979,0.125970,-164.607498,-7.714627,292.000000,1.420000,28.158974,1.393198,79.166885,0.019358,43.822212,0.000000,228.574997,3.127098,42.068003869079,-84.237424535728,292.61
6.270,0.280,-1.588370,-47.059296,3.309327,1.774243,-2.591688,3.000000,124.582939,13.228226,11839.000000,25.200001,4.125000,50.200001,969.000000,730.500000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.605750,0.042000,229.250000,229.000000,220.000000,224.500000,13.045000,89.779999,188.779999,68.000000,68.000000,45.437771,11.000000,-0.280422,0.464130,0.127689,-164.647598,-7.625245,292.000000,1.420000,28.216854,1.393198,79.215637,0.019363,43.960670,0.000000,229.125000,3.100654,42.068002091942,-84.237425202193,292.61
6.280,0.281,-2.503891,-46.754120,3.432167,1.751609,-2.529655,3.000000,124.582939,13.227951,11862.599609,25.879999,4.151000,50.040001,969.000000,734.700012,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.607050,0.042000,229.949997,229.399994,220.399994,225.500000,13.043000,89.779999,188.779999,68.000000,68.000000,45.530975,11.000000,-0.278382,0.462282,0.129408,-164.687698,-7.535864,292.000000,1.420000,28.274736,1.393198,79.264381,0.019367,44.099129,0.000000,229.675003,3.074210,42.068000314805,-84.237425868659,292.61
6.290,0.281,-1.893544,-48.279991,3.702458,1.750024,-2.493409,3.000000,124.582939,13.227676,11886.200195,26.559999,4.177000,49.880001,969.000000,738.900024,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.608350,0.042000,230.649994,229.800003,220.800003,226.500000,13.041000,89.779999,188.779999,68.000000,68.000000,45.624180,11.000000,-0.276343,0.460434,0.131127,-164.727814,-7.446482,292.000000,1.420000,28.332617,1.393198,79.313133,0.019371,44.237587,0.000000,230.225006,3.047766,42.067998537668,-84.237426535124,292.61
6.300,0.282,-2.198718,-49.195511,3.867723,1.946750,-2.511586,3.000000,124.582939,13.227402,11913.900391,27.330000,4.213000,49.709999,969.000000,743.200012,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.609650,0.042000,231.199997,230.250000,221.449997,226.949997,13.039000,89.779999,188.779999,68.000000,68.000000,45.723602,11.000000,-0.274240,0.457470,0.133132,-164.769058,-7.359393,292.000000,1.420500,28.394356,1.393198,79.361885,0.019366,44.346375,0.000000,230.725006,3.029692,42.067996743262,-84.237427195380,292.61
6.310,0.283,-2.809066,-49.500687,3.887740,2.231629,-2.573237,3.000000,124.582939,13.227127,11945.700195,28.190001,4.259000,49.529999,969.000000,747.599976,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.610950,0.042000,231.600006,230.750000,222.350006,226.850006,13.037000,89.779999,188.779999,68.000000,68.000000,45.829235,11.000000,-0.272073,0.453391,0.135424,-164.811462,-7.274595,292.000000,1.421500,28.459955,1.393198,79.410637,0.019351,44.425495,0.000000,231.175003,3.019989,42.067994908559,-84.237427841145,292.61
6.320,0.283,-0.978022,-48.585163,3.813130,2.298366,-2.648555,3.000000,124.582939,13.226852,11977.500000,29.049999,4.305000,49.349998,969.000000,752.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.612250,0.042000,232.000000,231.250000,223.250000,226.750000,13.035000,89.779999,188.779999,68.000000,68.000000,45.934868,11.000000,-0.269906,0.449313,0.137716,-164.853867,-7.189797,292.000000,1.422500,28.525553,1.393198,79.459381,0.019337,44.504616,0.000000,231.625000,3.010285,42.067993073857,-84.237428486911,292.61
6.330,0.284,0.853022,-49.805862,3.660064,2.121100,-2.668006,3.000000,124.582939,13.226578,12009.299805,29.910000,4.351000,49.170002,969.000000,756.400024,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.613550,0.042000,232.399994,231.750000,224.149994,226.649994,13.033000,89.779999,188.779999,68.000000,68.000000,46.040501,11.000000,-0.267739,0.445234,0.140007,-164.896255,-7.105000,292.000000,1.423500,28.591150,1.393198,79.508133,0.019323,44.583736,0.000000,232.074997,3.000582,42.067991239155,-84.237429132676,292.61
6.340,0.285,0.242674,-49.195511,3.592415,1.921925,-2.660462,3.000000,124.582939,13.226303,12041.099609,30.770000,4.397000,48.990002,969.000000,760.799988,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.614850,0.042000,232.800003,232.250000,225.050003,226.550003,13.031000,89.779999,188.779999,68.000000,68.000000,46.146133,11.000000,-0.265572,0.441155,0.142299,-164.938660,-7.020202,292.000000,1.424500,28.656750,1.393198,79.556885,0.019308,44.662857,0.000000,232.524994,2.990878,42.067989404452,-84.237429778441,292.61
6.350,0.286,-1.588370,-45.533424,3.815044,1.793282,-2.781139,3.000000,124.582939,13.226028,12073.400391,31.270000,4.427000,48.860001,969.000000,763.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.616150,0.042000,233.199997,232.750000,225.949997,226.449997,13.029000,89.779999,188.779999,68.000000,68.000000,46.251770,11.000000,-0.263405,0.437076,0.144591,-164.981064,-6.935404,292.000000,1.425500,28.722347,1.393198,79.605629,0.019294,44.741974,0.000000,232.975006,2.981174,42.067987569750,-84.237430424207,292.61
6.360,0.286,-0.672848,-45.228249,4.210999,1.646392,-2.980136,3.000000,124.582939,13.225754,12106.200195,31.410000,4.441000,48.780003,969.000000,763.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.617450,0.042000,233.600006,233.250000,226.850006,226.350006,13.027000,89.779999,188.779999,68.000000,68.000000,46.357403,11.000000,-0.261238,0.432997,0.146883,-165.023468,-6.850606,292.000000,1.426500,28.787947,1.393198,79.654381,0.019280,44.821095,0.000000,233.425003,2.971471,42.067985735048,-84.237431069972,292.61
6.370,0.287,1.158196,-47.364468,4.419818,1.460843,-2.963847,3.000000,124.582939,13.225479,12139.000000,31.549999,4.455000,48.700001,969.000000,763.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.618750,0.042000,234.000000,233.750000,227.750000,226.250000,13.025000,89.779999,188.779999,68.000000,68.000000,46.463036,11.000000,-0.259071,0.428918,0.149175,-165.065857,-6.765809,292.000000,1.427500,28.853544,1.393198,79.703133,0.019265,44.900215,0.000000,233.875000,2.961767,42.067983900346,-84.237431715738,292.61
6.380,0.288,1.463370,-47.974815,4.303976,1.393377,-2.678677,3.000000,124.582939,13.225204,12171.799805,31.690001,4.469000,48.619999,969.000000,763.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.620050,0.042000,234.399994,234.250000,228.649994,226.149994,13.023000,89.779999,188.779999,68.000000,68.000000,46.568668,11.000000,-0.256905,0.424839,0.151467,-165.108261,-6.681011,292.000000,1.428500,28.919142,1.393198,79.751877,0.019251,44.979336,0.000000,234.324997,2.952064,42.067982065643,-84.237432361503,292.61
6.390,0.288,-0.367674,-47.669640,4.060847,1.604624,-2.427403,3.000000,124.582939,13.224930,12204.599609,31.830000,4.483000,48.540001,969.000000,763.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.621350,0.042000,234.800003,234.750000,229.550003,226.050003,13.021000,89.779999,188.779999,68.000000,68.000000,46.674301,11.000000,-0.254738,0.420761,0.153758,-165.150665,-6.596213,292.000000,1.429500,28.984741,1.393198,79.800629,0.019236,45.058456,0.000000,234.774994,2.942360,42.067980230941,-84.237433007269,292.62
6.400,0.289,-3.419414,-50.111034,3.874857,2.044483,-2.413568,3.000000,124.582939,13.224655,12231.700195,31.910000,4.491000,48.490002,969.000000,763.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.620750,0.042000,235.250000,235.300003,230.000000,226.449997,13.019000,89.779999,188.779999,68.000000,68.000000,46.770615,11.000000,-0.252666,0.415694,0.156337,-165.194199,-6.518291,292.000000,1.430000,29.044552,1.393198,79.778130,0.019234,45.142521,0.000000,235.274994,2.935874,42.067978396239,-84.237433653034,292.62
6.410,0.290,-4.640110,-53.467949,3.760500,2.417730,-2.576490,3.000000,124.582939,13.224380,12253.099609,31.930000,4.493000,48.470001,969.000000,763.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.618250,0.042000,235.750000,235.899994,230.000000,227.350006,13.017000,89.779999,188.779999,68.000000,68.000000,46.857605,11.000000,-0.250691,0.409639,0.159201,-165.238892,-6.447244,292.000000,1.430000,29.098572,1.393198,79.684380,0.019244,45.231529,0.000000,235.824997,2.932606,42.067976561536,-84.237434298800,292.62
6.420,0.290,-3.419414,-53.162773,3.697933,2.408043,-2.833857,3.000000,124.582939,13.224106,12274.500000,31.950001,4.495000,48.450001,969.000000,763.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.615750,0.042000,236.250000,236.500000,230.000000,228.250000,13.015000,89.779999,188.779999,68.000000,68.000000,46.944599,11.000000,-0.248715,0.403585,0.162066,-165.283585,-6.376198,292.000000,1.430000,29.152596,1.393198,79.590630,0.019254,45.320538,0.000000,236.375000,2.929338,42.067974726834,-84.237434944565,292.62
6.430,0.291,-0.978022,-51.636906,3.657774,2.052971,-3.079328,3.000000,124.582939,13.223831,12295.900391,31.969999,4.497000,48.430000,969.000000,763.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.613250,0.042000,236.750000,237.100006,230.000000,229.149994,13.013000,89.779999,188.779999,68.000000,68.000000,47.031590,11.000000,-0.246739,0.397530,0.164931,-165.328278,-6.305151,292.000000,1.430000,29.206615,1.393198,79.496880,0.019263,45.409546,0.000000,236.925003,2.926070,42.067972851932,-84.237435573201,292.62
6.440,0.292,1.463370,-49.195511,3.608269,1.759917,-3.086092,3.000000,124.582939,13.223557,12317.299805,31.990000,4.499000,48.410000,969.000000,763.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.610750,0.042000,237.250000,237.699997,230.000000,230.050003,13.011000,89.779999,188.779999,68.000000,68.000000,47.118580,11.000000,-0.244764,0.391476,0.167796,-165.372971,-6.234104,292.000000,1.430000,29.260639,1.393198,79.403130,0.019273,45.498554,0.000000,237.475006,2.922802,42.067970966981,-84.237436197555,292.62
6.450,0.293,3.904762,-45.533424,3.575083,1.793512,-2.797355,3.000000,124.582939,13.223282,12339.599609,31.840000,4.490000,48.410000,969.000000,762.200012,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.608250,0.042000,237.750000,238.300003,230.000000,230.949997,13.009000,89.779999,188.779999,68.000000,68.000000,47.205574,11.000000,-0.242788,0.385421,0.170661,-165.417664,-6.163057,292.000000,1.430000,29.314659,1.393198,79.309380,0.019283,45.587563,0.000000,238.024994,2.919535,42.067969082029,-84.237436821909,292.62
6.460,0.293,2.073718,-44.312729,3.544836,2.015573,-2.493039,3.000000,124.582939,13.223007,12362.799805,31.520000,4.470000,48.430000,969.000000,760.599976,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.605750,0.042000,238.250000,238.899994,230.000000,231.850006,13.007000,89.779999,188.779999,68.000000,68.000000,47.292564,11.000000,-0.240812,0.379366,0.173525,-165.462357,-6.092010,292.000000,1.430000,29.368683,1.393198,79.215630,0.019292,45.676571,0.000000,238.574997,2.916267,42.067967197078,-84.237437446263,292.62
6.470,0.294,-2.809066,-47.974815,3.426714,2.225530,-2.430454,3.000000,124.582939,13.222733,12386.000000,31.200001,4.450000,48.450001,969.000000,759.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.603250,0.042000,238.750000,239.500000,230.000000,232.750000,13.005000,89.779999,188.779999,68.000000,68.000000,47.379555,11.000000,-0.238836,0.373312,0.176390,-165.507050,-6.020964,292.000000,1.430000,29.422703,1.393198,79.121880,0.019302,45.765579,0.000000,239.125000,2.912999,42.067965312126,-84.237438070617,292.62
6.480,0.295,-3.114240,-51.636906,3.208493,2.343473,-2.627772,3.000000,124.582939,13.222458,12409.200195,30.879999,4.430000,48.470001,969.000000,757.400024,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.600750,0.042000,239.250000,240.100006,230.000000,233.649994,13.003000,89.779999,188.779999,68.000000,68.000000,47.466549,11.000000,-0.236861,0.367257,0.179255,-165.551743,-5.949917,292.000000,1.430000,29.476727,1.393198,79.028130,0.019312,45.854588,0.000000,239.675003,2.909731,42.067963427175,-84.237438694971,292.62
6.490,0.295,-0.978022,-50.721382,3.023557,2.221794,-2.978929,3.000000,124.582939,13.222183,12432.400391,30.559999,4.410000,48.490002,969.000000,755.799988,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.598250,0.042000,239.750000,240.699997,230.000000,234.550003,13.001000,89.779999,188.779999,68.000000,68.000000,47.553539,11.000000,-0.234885,0.361203,0.182120,-165.596436,-5.878870,292.000000,1.430000,29.530746,1.393198,78.934380,0.019322,45.943596,0.000000,240.225006,2.906463,42.067961542223,-84.237439319325,292.63
6.500,0.296,0.547848,-48.890335,3.044088,1.790258,-3.216092,3.000000,124.582939,13.221909,12457.200195,30.170000,4.385000,48.560001,969.000000,754.400024,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.598350,0.042000,240.199997,241.050003,230.199997,235.000000,13.000500,89.779999,188.779999,68.000000,68.000000,47.637424,11.000000,-0.233132,0.354224,0.184985,-165.640549,-5.816991,292.000000,1.430500,29.582840,1.393198,78.938126,0.019318,46.007881,0.000000,240.625000,2.900161,42.067959657272,-84.237439943679,292.63
6.510,0.297,1.463370,-48.585163,3.252505,1.431717,-3.061347,3.000000,124.582939,13.221634,12483.599609,29.709999,4.355000,48.680000,969.000000,753.200012,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.601050,0.042000,240.600006,241.149994,230.600006,235.000000,13.001500,89.779999,188.779999,68.000000,68.000000,47.718201,11.000000,-0.231603,0.346321,0.187849,-165.684097,-5.764279,292.000000,1.431500,29.633003,1.393198,79.039383,0.019302,46.047443,0.000000,240.875000,2.890824,42.067957772321,-84.237440568033,292.63
6.520,0.297,-0.062500,-48.585163,3.337340,1.651652,-2.728433,3.000000,124.582939,13.221359,12510.000000,29.250000,4.325000,48.800003,969.000000,752.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.603750,0.042000,241.000000,241.250000,231.000000,235.000000,13.002500,89.779999,188.779999,68.000000,68.000000,47.798981,11.000000,-0.230073,0.338418,0.190714,-165.727631,-5.711567,292.000000,1.432500,29.683167,1.393198,79.140625,0.019285,46.087002,0.000000,241.125000,2.881488,42.067955887369,-84.237441192387,292.63
6.530,0.298,-3.419414,-48.890335,3.084314,2.294073,-2.762880,3.000000,124.582939,13.221085,12536.400391,28.790001,4.295000,48.920002,969.000000,750.799988,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.606450,0.042000,241.399994,241.350006,231.399994,235.000000,13.003500,89.779999,188.779999,68.000000,68.000000,47.879761,11.000000,-0.228544,0.330516,0.193579,-165.771179,-5.658854,292.000000,1.433500,29.733330,1.393198,79.241882,0.019268,46.126560,0.000000,241.375000,2.872152,42.067954002418,-84.237441816741,292.63
6.540,0.299,-4.945284,-47.364468,2.772623,2.659017,-3.204907,3.000000,124.582939,13.220810,12562.799805,28.330000,4.265000,49.040001,969.000000,749.599976,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.609150,0.042000,241.800003,241.449997,231.800003,235.000000,13.004500,89.779999,188.779999,68.000000,68.000000,47.960537,11.000000,-0.227014,0.322613,0.196444,-165.814728,-5.606143,292.000000,1.434500,29.783493,1.393198,79.343124,0.019251,46.166122,0.000000,241.625000,2.862815,42.067952117466,-84.237442441095,292.63
6.550,0.300,-1.588370,-44.007553,2.821667,2.479506,-3.492402,3.000000,124.582939,13.220535,12586.700195,27.440001,4.225000,49.210003,969.000000,744.500000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.611850,0.042000,242.199997,241.550003,232.199997,235.000000,13.005500,89.779999,188.779999,68.000000,68.000000,48.041317,11.000000,-0.225485,0.314710,0.199309,-165.858261,-5.553430,292.000000,1.435500,29.833658,1.393198,79.444382,0.019235,46.205681,0.000000,241.875000,2.853479,42.067950220772,-84.237443059238,292.63
6.560,0.300,1.463370,-44.312729,3.194129,2.209632,-3.280432,3.000000,124.582939,13.220261,12608.099609,26.120001,4.175000,49.430000,969.000000,735.500000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.614550,0.042000,242.600006,241.649994,232.600006,235.000000,13.006500,89.779999,188.779999,68.000000,68.000000,48.122093,11.000000,-0.223955,0.306807,0.202173,-165.901810,-5.500718,292.000000,1.436500,29.883821,1.393198,79.545624,0.019218,46.245243,0.000000,242.125000,2.844142,42.067948296680,-84.237443662888,292.63
6.570,0.301,-0.062500,-47.364468,3.473869,2.231113,-2.869554,3.000000,124.582939,13.219986,12629.500000,24.799999,4.125000,49.650002,969.000000,726.500000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.617250,0.042000,243.000000,241.750000,233.000000,235.000000,13.007500,89.779999,188.779999,68.000000,68.000000,48.202873,11.000000,-0.222425,0.298904,0.205038,-165.945358,-5.448006,292.000000,1.437500,29.933985,1.393198,79.646881,0.019201,46.284801,0.000000,242.375000,2.834806,42.067946372588,-84.237444266538,292.64
6.580,0.302,-1.283196,-48.890335,3.422080,2.307451,-2.711170,3.000000,124.582939,13.219711,12650.900391,23.480000,4.075000,49.870003,969.000000,717.500000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.619950,0.042000,243.399994,241.850006,233.399994,235.000000,13.008500,89.779999,188.779999,68.000000,68.000000,48.283653,11.000000,-0.220896,0.291002,0.207903,-165.988892,-5.395294,292.000000,1.438500,29.984148,1.393198,79.748123,0.019185,46.324360,0.000000,242.625000,2.825469,42.067944448495,-84.237444870188,292.64
6.590,0.302,-0.367674,-49.500687,3.201710,2.090306,-2.795729,3.000000,124.582939,13.219437,12672.299805,22.160000,4.025000,50.090000,969.000000,708.500000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.622650,0.042000,243.800003,241.949997,233.800003,235.000000,13.009500,89.779999,188.779999,68.000000,68.000000,48.364429,11.000000,-0.219366,0.283099,0.210768,-166.032440,-5.342582,292.000000,1.439500,30.034311,1.393198,79.849380,0.019168,46.363922,0.000000,242.875000,2.816133,42.067942524403,-84.237445473838,292.64
6.600,0.303,0.242674,-50.111038,3.072416,1.757229,-2.802939,3.000000,124.582939,13.219162,12688.700195,21.299999,3.982000,50.279999,969.000000,703.299988,0.508000,0.009000,0.009000,0.009000,0.008950,0.009000,0.043000,2.624100,0.042000,244.350006,242.250000,234.399994,235.449997,13.010500,89.779999,188.779999,68.000000,68.000000,48.442101,11.000000,-0.218092,0.274368,0.213632,-166.075409,-5.300183,292.000000,1.440000,30.082544,1.393198,79.903755,0.019172,46.467766,0.000000,243.300003,2.809429,42.067940600311,-84.237446077488,292.64
6.610,0.304,-0.978022,-50.721382,3.056274,1.702657,-2.701940,3.000000,124.582939,13.218887,12700.099609,20.900000,3.946000,50.440002,969.000000,701.900024,0.508000,0.009000,0.009000,0.009000,0.008850,0.009000,0.043000,2.624300,0.042000,245.050003,242.750000,235.199997,236.350006,13.011500,89.779999,188.779999,68.000000,68.000000,48.516666,11.000000,-0.217072,0.264808,0.216497,-166.117813,-5.268097,292.000000,1.440000,30.128849,1.393198,79.911255,0.019197,46.635895,0.000000,243.899994,2.805358,42.067938676218,-84.237446681138,292.64
6.620,0.305,-2.198718,-48.585167,2.985746,1.872031,-2.693027,3.000000,124.582939,13.218613,12711.500000,20.500000,3.910000,50.599998,969.000000,700.500000,0.508000,0.009000,0.009000,0.009000,0.008750,0.009000,0.043000,2.624500,0.042000,245.750000,243.250000,236.000000,237.250000,13.012500,89.779999,188.779999,68.000000,68.000000,48.591232,11.000000,-0.216052,0.255248,0.219362,-166.160217,-5.236012,292.000000,1.440000,30.175154,1.393198,79.918755,0.019223,46.804024,0.000000,244.500000,2.801287,42.067936752126,-84.237447284788,292.64
6.630,0.305,-0.978022,-43.702381,2.803057,1.930134,-2.671282,3.000000,124.582939,13.218338,12722.900391,20.100000,3.874000,50.760002,969.000000,699.099976,0.508000,0.009000,0.009000,0.009000,0.008650,0.009000,0.043000,2.624700,0.042000,246.449997,243.750000,236.800003,238.149994,13.013500,89.779999,188.779999,68.000000,68.000000,48.665794,11.000000,-0.215033,0.245688,0.222227,-166.202606,-5.203926,292.000000,1.440000,30.221458,1.393198,79.926254,0.019248,46.972153,0.000000,245.100006,2.797216,42.067934828034,-84.237447888437,292.64
6.640,0.306,-0.062500,-44.312729,2.667762,1.886889,-2.452794,3.000000,124.582939,13.218063,12734.299805,19.700001,3.838000,50.919998,969.000000,697.700012,0.508000,0.009000,0.009000,0.009000,0.008550,0.009000,0.043000,2.624900,0.042000,247.149994,244.250000,237.600006,239.050003,13.014500,89.779999,188.779999,68.000000,68.000000,48.740360,11.000000,-0.214013,0.236128,0.225092,-166.245010,-5.171840,292.000000,1.440000,30.267763,1.393198,79.933754,0.019273,47.140282,0.000000,245.699997,2.793145,42.067932903941,-84.237448492087,292.65
